,Visual Magnitude,Days before today
0.0,1.624,0.0
1.0,1.596875,1.0
2.0,1.5620833333333335,2.0
3.0,1.6294117647058826,3.0
4.0,1.6150000000000002,4.0
5.0,1.60625,5.0
6.0,1.5991304347826087,6.0
7.0,1.6100000000000003,7.0
8.0,1.6615384615384619,8.0
9.0,1.5746153846153847,9.0
10.0,1.5876190476190477,10.0
11.0,1.588888888888889,11.0
12.0,1.5477777777777777,12.0
13.0,1.551538461538462,13.0
14.0,1.6141176470588237,14.0
15.0,1.6084999999999998,15.0
16.0,1.5899999999999999,16.0
17.0,1.5933333333333333,17.0
18.0,1.5510526315789475,18.0
19.0,1.5853333333333335,19.0
20.0,1.5663333333333336,20.0
21.0,1.5561538461538462,21.0
22.0,1.508148148148148,22.0
23.0,1.5488,23.0
24.0,1.5384,24.0
25.0,1.4733333333333334,25.0
26.0,1.4915384615384613,26.0
27.0,1.502857142857143,27.0
28.0,1.4692682926829268,28.0
29.0,1.4925,29.0
30.0,1.4842857142857144,30.0
31.0,1.4979166666666668,31.0
32.0,1.4768421052631575,32.0
33.0,1.4664705882352942,33.0
34.0,1.4568181818181818,34.0
35.0,1.4466666666666665,35.0
36.0,1.455277777777778,36.0
37.0,1.436111111111111,37.0
38.0,1.4289285714285715,38.0
39.0,1.5005000000000002,39.0
40.0,1.3984999999999999,40.0
41.0,1.4477777777777778,41.0
42.0,1.4116666666666666,42.0
43.0,1.4093333333333333,43.0
44.0,1.4138709677419354,44.0
45.0,1.308095238095238,45.0
46.0,1.4219047619047618,46.0
47.0,1.3851515151515152,47.0
48.0,1.386923076923077,48.0
49.0,1.339268292682927,49.0
50.0,1.3265217391304347,50.0
51.0,1.3304347826086955,51.0
52.0,1.3472222222222223,52.0
53.0,1.2753846153846156,53.0
54.0,1.2733333333333332,54.0
55.0,1.2607692307692309,55.0
56.0,1.3027272727272727,56.0
57.0,1.2330769230769232,57.0
58.0,1.3123529411764705,58.0
59.0,1.2333333333333334,59.0
60.0,1.2455555555555555,60.0
61.0,1.1800000000000002,61.0
62.0,1.2333333333333334,62.0
63.0,1.222,63.0
64.0,1.2149999999999999,64.0
65.0,1.1300000000000001,65.0
66.0,1.2,66.0
67.0,1.2,67.0
68.0,1.125,68.0
69.0,1.06,69.0
70.0,0.75,70.0
71.0,0.8566666666666666,71.0
72.0,1.02,72.0
73.0,1.245,73.0
74.0,1.2475,74.0
75.0,1.02,75.0
76.0,1.07,76.0
77.0,0.9666666666666667,77.0
78.0,0.78,78.0
79.0,0.9583333333333334,79.0
80.0,1.1,80.0
81.0,0.75,81.0
82.0,1.2000000000000002,82.0
83.0,0.9,83.0
84.0,0.55,84.0
85.0,0.85,85.0
86.0,0.7333333333333333,86.0
87.0,1.0433333333333332,87.0
88.0,0.9166666666666666,88.0
89.0,0.6499999999999999,89.0
90.0,0.95,90.0
91.0,0.5,91.0
92.0,1.0750000000000002,92.0
93.0,0.7,93.0
94.0,0.6,94.0
95.0,0.75,95.0
96.0,0.75,96.0
97.0,0.7,97.0
98.0,0.87,98.0
99.0,0.8,99.0
100.0,0.6,100.0
101.0,0.6,101.0
102.0,0.7,102.0
103.0,0.986,103.0
104.0,1.1,104.0
105.0,0.575,105.0
106.0,0.575,106.0
107.0,0.575,107.0
108.0,0.7000000000000001,108.0
109.0,0.65,109.0
110.0,0.725,110.0
111.0,0.7,111.0
112.0,0.7,112.0
113.0,0.73,113.0
114.0,0.3,114.0
115.0,0.99,115.0
116.0,0.7333333333333334,116.0
117.0,0.5666666666666668,117.0
118.0,0.5,118.0
119.0,0.6,119.0
120.0,0.6,120.0
121.0,0.6,121.0
122.0,0.65,122.0
123.0,0.6,123.0
124.0,0.6,124.0
125.0,0.55,125.0
126.0,0.55,126.0
127.0,0.3,127.0
128.0,0.6000000000000001,128.0
129.0,0.6000000000000001,129.0
130.0,0.6000000000000001,130.0
131.0,0.6000000000000001,131.0
132.0,0.6666666666666666,132.0
133.0,0.6,133.0
134.0,0.6499999999999999,134.0
135.0,0.6499999999999999,135.0
136.0,0.4,136.0
137.0,0.4,137.0
138.0,0.25,138.0
139.0,0.5,139.0
140.0,0.75,140.0
141.0,0.7000000000000001,141.0
142.0,0.5,142.0
143.0,0.6499999999999999,143.0
144.0,0.55,144.0
145.0,0.8,145.0
146.0,0.5,146.0
147.0,0.4,147.0
148.0,0.75,148.0
149.0,0.75,149.0
